Year,NOC,medalcount
1984,YUG,18
1984,ZMB,1
1988,AHO,1
1988,ARG,2
1988,AUS,14
1988,AUT,1
1988,BEL,2
1988,BGR,33
1988,BRA,6
1988,CAN,10
1988,CHE,4
1988,CHL,1
1988,CHN,23
1988,COL,1
1988,CRI,1
1988,DEU,36
1988,DJI,1
1988,DNK,4
1988,ESP,4
1988,FIN,3
1988,FRA,16
1988,GBR,22
1988,GDR,88
1988,GRC,1
1988,HUN,23
1988,IDN,1
1988,IRN,1
1988,ITA,14
1988,JAM,2
1988,JPN,14
1988,KEN,8
1988,KOR,30
1988,MAR,3
1988,MEX,2
1988,MNG,1
1988,NLD,9
1988,NOR,5
1988,NZL,13
1988,PAK,1
1988,PER,1
1988,PHL,1
1988,POL,16
1988,PRT,1
1988,ROU,22
1988,RUS,113
1988,SEN,1
1988,SUR,1
1988,SWE,11
1988,TCH,8
1988,THA,1
1988,TUR,2
1988,USA,81
1988,VIR,1
1988,YUG,12
1992,ARG,1
1992,AUS,26
1992,AUT,2
1992,BEL,3
1992,BGR,16
1992,BHS,1
1992,BRA,3
1992,CAN,18
1992,CHE,1
1992,CHN,44
1992,COL,1
1992,CUB,31
1992,DEU,78
1992,DNK,6
1992,DZA,2
1992,ESP,22
1992,EST,2
1992,ETH,3
1992,EUN,100
1992,FIN,5
1992,FRA,28
1992,GBR,20
1992,GHA,1
1992,GRC,2
1992,HRV,3
1992,HUN,28
1992,IDN,3
1992,IOA,3
1992,IRL,2
1992,IRN,3
1992,ISR,2
1992,ITA,19
1992,JAM,3
1992,JPN,22
1992,KEN,5
1992,KOR,26
1992,LTU,2
1992,LVA,3
1992,MAR,3
1992,MEX,1
1992,MNG,2
1992,MYS,1
1992,NAM,2
1992,NGA,4
1992,NLD,15
1992,NOR,7
1992,NZL,10
1992,PAK,1
1992,PER,1
1992,PHL,1
1992,POL,19
1992,PRI,1
1992,PRK,9
1992,QAT,1
1992,ROU,17
1992,SUR,1
1992,SVN,2
1992,SWE,12
1992,TCH,7
1992,THA,1
1992,TUR,6
1992,TWN,1
1992,USA,97
1992,ZAF,2
1996,ARG,3
1996,ARM,2
1996,AUS,39
1996,AUT,3
1996,AZE,1
1996,BDI,1
1996,BEL,6
1996,BGR,15
1996,BHS,1
1996,BLR,14
1996,BRA,14
1996,CAN,22
1996,CHE,7
1996,CHN,43
1996,CRI,1
1996,CUB,24
1996,CZE,11
1996,DEU,63
1996,DNK,6
1996,DZA,3
1996,ECU,1
1996,ESP,16
1996,ETH,3
1996,FIN,4
1996,FRA,35
1996,GBR,15
1996,GEO,2
1996,GRC,8
1996,HKG,1
1996,HRV,2
1996,HUN,20
1996,IDN,2
1996,IND,1
1996,IRL,4
1996,IRN,3
1996,ISR,1
1996,ITA,33
1996,JAM,6
1996,JPN,14
1996,KAZ,11
1996,KEN,7
1996,KOR,26
1996,LTU,1
1996,LVA,1
1996,MAR,2
1996,MDA,2
1996,MEX,1
1996,MNG,1
1996,MOZ,1
1996,MYS,2
1996,NAM,2
1996,NGA,6
1996,NLD,18
1996,NOR,7
1996,NZL,5
1996,PHL,1
1996,POL,17
1996,PRI,1
