Year,NOC,region,Sport,Event,Medal
1980,RUS,Russia,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
2008,NGA,,Taekwondo,Taekwondo Men's Heavyweight,Bronze
2012,USA,USA,Wrestling,"Wrestling Women's Flyweight, Freestyle",Bronze
1988,RUS,Russia,Sailing,Sailing Women's Two Person Dinghy,Bronze
2016,RUS,Russia,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
2008,DEU,,Gymnastics,Gymnastics Women's Horse Vault,Silver
1964,RUS,Russia,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
2016,POL,Poland,Rowing,Rowing Women's Quadruple Sculls,Bronze
1980,POL,Poland,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
1960,ITA,Italy,Sailing,Sailing Mixed Three Person Keelboat,Bronze
1996,FRA,France,Judo,Judo Women's Heavyweight,Bronze
2008,BRA,Brazil,Swimming,Swimming Men's 50 metres Freestyle,Gold
2008,BRA,Brazil,Swimming,Swimming Men's 100 metres Freestyle,Bronze
2012,BRA,Brazil,Swimming,Swimming Men's 50 metres Freestyle,Bronze
1960,POL,Poland,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
1964,POL,Poland,Athletics,Athletics Women's 80 metres Hurdles,Silver
1964,POL,Poland,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
1976,GDR,Germany,Athletics,Athletics Men's Marathon,Gold
1980,GDR,Germany,Athletics,Athletics Men's Marathon,Gold
1992,POL,Poland,Rowing,Rowing Men's Coxed Fours,Bronze
1992,ROU,Romania,Weightlifting,Weightlifting Men's Flyweight,Bronze
1960,DEU,,Rowing,Rowing Men's Coxed Fours,Gold
1984,ROU,Romania,Judo,Judo Men's Open Class,Bronze
2004,ROU,Romania,Athletics,"Athletics Women's 1,500 metres",Bronze
1984,ROU,Romania,Weightlifting,Weightlifting Men's Middleweight,Bronze
1980,ROU,Romania,Boxing,Boxing Men's Bantamweight,Bronze
2000,SCG,Serbia,Water Polo,Water Polo Men's Water Polo,Bronze
2004,SCG,Serbia,Water Polo,Water Polo Men's Water Polo,Silver
2008,SRB,Serbia,Water Polo,Water Polo Men's Water Polo,Bronze
2012,MDA,Moldova,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
2016,CIV,Ivory Coast,Taekwondo,Taekwondo Men's Welterweight,Gold
2016,FRA,France,Boxing,Boxing Men's Welterweight,Bronze
1988,RUS,Russia,Athletics,Athletics Women's Long Jump,Bronze
1964,DEU,,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
1984,SWE,Sweden,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
2008,GBR,UK,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
2012,GBR,UK,Cycling,Cycling Men's Omnium,Bronze
1984,GBR,UK,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
1972,USA,USA,Rowing,Rowing Men's Coxed Eights,Silver
1972,AUS,Australia,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver
1984,USA,USA,Rowing,Rowing Men's Coxless Fours,Silver
1976,GBR,UK,Rowing,Rowing Men's Coxed Eights,Silver
2016,USA,USA,Water Polo,Water Polo Women's Water Polo,Gold
1992,USA,USA,Diving,Diving Women's Platform,Bronze
1996,USA,USA,Diving,Diving Women's Platform,Bronze
1996,NZL,New Zealand,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
2012,GBR,UK,Sailing,Sailing Women's Two Person Dinghy,Silver
2016,GBR,UK,Sailing,Sailing Women's Two Person Dinghy,Gold
1964,USA,USA,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
1976,CAN,Canada,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
2016,GBR,UK,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
1964,AUS,Australia,Athletics,"Athletics Men's 10,000 metres",Bronze
1992,CAN,Canada,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
1996,BHS,,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
2000,BHS,,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
2012,USA,USA,Swimming,Swimming Men's 200 metres Backstroke,Gold
2004,USA,USA,Athletics,Athletics Men's Decathlon,Silver
2008,USA,USA,Athletics,Athletics Men's Decathlon,Gold
1960,USA,USA,Boxing,Boxing Men's Light-Heavyweight,Gold
1980,GBR,UK,Rowing,Rowing Men's Coxed Eights,Silver
2000,GBR,UK,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
2012,USA,USA,Athletics,Athletics Men's Long Jump,Bronze
2012,USA,USA,Athletics,Athletics Men's Triple Jump,Silver
2016,USA,USA,Athletics,Athletics Men's Triple Jump,Silver
2012,AUS,Australia,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
2008,USA,USA,Athletics,Athletics Men's 400 metres Hurdles,Silver
2008,USA,USA,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
2016,USA,USA,Athletics,Athletics Men's 400 metres Hurdles,Gold
2016,USA,USA,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
1972,CAN,Canada,Swimming,Swimming Women's 400 metres Individual Medley,Silver
1996,FRA,France,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Silver
2000,FRA,France,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Silver
1984,ESP,Spain,Rowing,Rowing Men's Coxless Pairs,Silver
2016,FRA,France,Modern Pentathlon,Modern Pentathlon Women's Individual,Silver
2000,ROU,Romania,Swimming,Swimming Women's 200 metres Individual Medley,Silver
2000,ROU,Romania,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
1976,USA,USA,Judo,Judo Men's Heavyweight,Bronze
1992,USA,USA,Volleyball,Volleyball Women's Volleyball,Bronze
1968,AUS,Australia,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
1968,CUB,Cuba,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
2016,USA,USA,Athletics,"Athletics Women's 3,000 metres Steeplechase",Bronze
1972,FRA,France,Judo,Judo Men's Middleweight,Bronze
1984,GBR,UK,Swimming,Swimming Men's 200 metres Individual Medley,Bronze
2008,CAN,Canada,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
2012,CAN,Canada,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
2000,CAN,Canada,Trampolining,Trampolining Women's Individual,Bronze
2004,CAN,Canada,Trampolining,Trampolining Women's Individual,Silver
2008,CAN,Canada,Trampolining,Trampolining Women's Individual,Silver
2012,ROU,Romania,Weightlifting,Weightlifting Women's Light-Heavyweight,Silver
1976,ROU,Romania,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze
1980,GBR,UK,Athletics,Athletics Men's 800 metres,Silver
1980,GBR,UK,Athletics,"Athletics Men's 1,500 metres",Gold
1984,GBR,UK,Athletics,Athletics Men's 800 metres,Silver
1984,GBR,UK,Athletics,"Athletics Men's 1,500 metres",Gold
1996,POL,Poland,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
1976,USA,USA,Rowing,Rowing Men's Coxless Pairs,Silver
1976,USA,USA,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
1976,USA,USA,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
2008,USA,USA,Shooting,Shooting Women's Trap,Bronze
2016,USA,USA,Shooting,Shooting Women's Trap,Bronze
1988,ROU,Romania,Rowing,Rowing Women's Double Sculls,Silver
1992,ROU,Romania,Rowing,Rowing Women's Double Sculls,Silver
1996,ROU,Romania,Rowing,Rowing Women's Coxed Eights,Gold
2000,ROU,Romania,Rowing,Rowing Women's Coxed Eights,Gold
2012,NZL,New Zealand,Rowing,Rowing Men's Double Sculls,Gold
1984,USA,USA,Swimming,Swimming Women's 400 metres Freestyle,Gold
1984,USA,USA,Swimming,Swimming Women's 800 metres Freestyle,Gold
1984,ROU,Romania,Athletics,Athletics Women's 400 metres Hurdles,Bronze
1972,NZL,New Zealand,Rowing,Rowing Men's Coxed Eights,Gold
1976,NZL,New Zealand,Rowing,Rowing Men's Coxed Eights,Bronze
1984,FRA,France,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze
2008,AUS,Australia,Diving,Diving Women's Synchronized Platform,Silver
2012,USA,USA,Rowing,Rowing Men's Coxless Fours,Bronze
1968,NZL,New Zealand,Rowing,Rowing Men's Coxed Fours,Gold
1972,USA,USA,Swimming,Swimming Women's 200 metres Butterfly,Silver
1976,USA,USA,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
1972,USA,USA,Athletics,Athletics Men's 400 metres,Silver
1964,USA,USA,Diving,Diving Women's Springboard,Silver
1996,ITA,Italy,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold
1972,NZL,New Zealand,Rowing,Rowing Men's Coxless Fours,Silver
1976,ITA,Italy,Fencing,"Fencing Women's Foil, Individual",Silver
2000,USA,USA,Rowing,Rowing Women's Lightweight Double Sculls,Bronze
1996,AUS,Australia,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
2000,AUS,Australia,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
2016,ESP,Spain,Cycling,"Cycling Men's Mountainbike, Cross-Country",Bronze
1972,DEU,,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
1980,CUB,Cuba,Athletics,Athletics Women's Javelin Throw,Gold
1960,AUS,Australia,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
1976,ROU,Romania,Gymnastics,Gymnastics Women's Individual All-Around,Gold
1976,ROU,Romania,Gymnastics,Gymnastics Women's Team All-Around,Silver
1976,ROU,Romania,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
1976,ROU,Romania,Gymnastics,Gymnastics Women's Uneven Bars,Gold
1976,ROU,Romania,Gymnastics,Gymnastics Women's Balance Beam,Gold
1980,ROU,Romania,Gymnastics,Gymnastics Women's Individual All-Around,Silver
1980,ROU,Romania,Gymnastics,Gymnastics Women's Team All-Around,Silver
1980,ROU,Romania,Gymnastics,Gymnastics Women's Floor Exercise,Gold
1980,ROU,Romania,Gymnastics,Gymnastics Women's Balance Beam,Gold
2016,BRA,Brazil,Boxing,Boxing Men's Lightweight,Gold
2008,CAN,Canada,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
1972,USA,USA,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1992,CHN,China,Basketball,Basketball Women's Basketball,Silver
2012,IRL,Ireland,Boxing,Boxing Men's Flyweight,Bronze
1984,USA,USA,Athletics,Athletics Men's Triple Jump,Silver
1992,USA,USA,Athletics,Athletics Men's Triple Jump,Gold
1984,USA,USA,Gymnastics,Gymnastics Men's Team All-Around,Gold
1984,USA,USA,Gymnastics,Gymnastics Men's Parallel Bars,Gold
1976,USA,USA,Sailing,Sailing Mixed Two Person Keelboat,Bronze
1984,GBR,UK,Athletics,Athletics Men's Triple Jump,Bronze
2004,DEU,,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
1968,BRA,Brazil,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
1976,BRA,Brazil,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
2000,ARG,Argentina,Sailing,Sailing Men's Two Person Dinghy,Bronze
2008,VEN,Venezuela,Taekwondo,Taekwondo Women's Flyweight,Bronze
1988,USA,USA,Athletics,Athletics Men's High Jump,Silver
1992,USA,USA,Athletics,Athletics Men's High Jump,Bronze
2016,GBR,UK,Judo,Judo Women's Middleweight,Bronze
2004,GBR,UK,Rowing,Rowing Men's Coxless Fours,Gold
1996,AUS,Australia,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze
2000,AUS,Australia,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Gold
2008,GBR,UK,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
2008,GBR,UK,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
2012,GBR,UK,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
1964,BHS,,Sailing,Sailing Mixed Two Person Keelboat,Gold
2008,GBR,UK,Cycling,"Cycling Women's Road Race, Individual",Gold
1992,AUS,Australia,Rowing,Rowing Men's Coxless Fours,Gold
1972,AUS,Australia,Swimming,Swimming Men's 400 metres Freestyle,Gold
1964,GBR,UK,Athletics,Athletics Men's 400 metres Hurdles,Silver
1992,SVN,,Rowing,Rowing Men's Coxless Pairs,Bronze
2000,SVN,,Rowing,Rowing Men's Double Sculls,Gold
2004,SVN,,Rowing,Rowing Men's Double Sculls,Silver
2012,SVN,,Rowing,Rowing Men's Double Sculls,Bronze
2012,GBR,UK,Rowing,Rowing Women's Lightweight Double Sculls,Gold
2016,TUR,Turkey,Athletics,Athletics Men's 400 metres Hurdles,Bronze
1960,CHE,,Sailing,Sailing Mixed 5.5 metres,Bronze
2012,FRA,France,Cycling,Cycling Men's Omnium,Silver
1972,YUG,Serbia,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
1964,NLD,,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
2012,NLD,,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
2012,NLD,,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
1984,NLD,,Rowing,Rowing Women's Coxed Eights,Bronze
1992,ITA,Italy,Rowing,Rowing Men's Quadruple Sculls,Bronze
1972,CUB,Cuba,Boxing,Boxing Men's Welterweight,Gold
2008,CUB,Cuba,Boxing,Boxing Men's Middleweight,Silver
2000,ESP,Spain,Tennis,Tennis Men's Doubles,Bronze
1968,CAN,Canada,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
1996,FRA,France,Rowing,Rowing Women's Coxless Pairs,Bronze
1976,YUG,Serbia,Basketball,Basketball Men's Basketball,Silver
1980,YUG,Serbia,Basketball,Basketball Men's Basketball,Gold
1992,AUS,Australia,Athletics,Athletics Women's Discus Throw,Bronze
1984,USA,USA,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
1972,CAN,Canada,Sailing,Sailing Mixed Three Person Keelboat,Bronze
2004,USA,USA,Swimming,Swimming Women's 100 metres Freestyle,Bronze
2004,USA,USA,Swimming,Swimming Women's 100 metres Backstroke,Gold
2008,USA,USA,Swimming,Swimming Women's 100 metres Freestyle,Bronze
2008,USA,USA,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
2008,USA,USA,Swimming,Swimming Women's 100 metres Backstroke,Gold
2008,USA,USA,Swimming,Swimming Women's 200 metres Individual Medley,Bronze
2012,USA,USA,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
1964,FRA,France,Fencing,"Fencing Men's Foil, Team",Bronze
2012,AUS,Australia,Swimming,Swimming Women's 100 metres Butterfly,Bronze
2012,AUS,Australia,Swimming,Swimming Women's 200 metres Individual Medley,Silver
2012,AUS,Australia,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
1984,NZL,New Zealand,Sailing,Sailing Mixed One Person Dinghy,Gold
1984,ITA,Italy,Athletics,"Athletics Men's 10,000 metres",Gold
1968,ROU,Romania,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
1972,ROU,Romania,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
2000,ROU,Romania,Fencing,"Fencing Men's Sabre, Individual",Gold
2008,ROU,Romania,Fencing,"Fencing Men's Sabre, Individual",Bronze
2000,GBR,UK,Sailing,Sailing Mixed Two Person Keelboat,Silver
2004,ZWE,,Swimming,Swimming Women's 100 metres Backstroke,Silver
2004,ZWE,,Swimming,Swimming Women's 200 metres Backstroke,Gold
2004,ZWE,,Swimming,Swimming Women's 200 metres Individual Medley,Bronze
2008,ZWE,,Swimming,Swimming Women's 100 metres Backstroke,Silver
2008,ZWE,,Swimming,Swimming Women's 200 metres Backstroke,Gold
2008,ZWE,,Swimming,Swimming Women's 200 metres Individual Medley,Silver
2008,ZWE,,Swimming,Swimming Women's 400 metres Individual Medley,Silver
1976,GBR,UK,Boxing,Boxing Men's Bantamweight,Bronze
1992,NZL,New Zealand,Sailing,Sailing Mixed Two Person Keelboat,Silver
2004,USA,USA,Rowing,Rowing Women's Coxed Eights,Silver
2016,USA,USA,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
2012,BEL,Belgium,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver
1988,NLD,,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
2000,GBR,UK,Rowing,Rowing Men's Coxless Fours,Gold
1960,AUS,Australia,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
1984,CAN,Canada,Rowing,Rowing Women's Coxless Pairs,Silver
1988,SWE,Sweden,Boxing,Boxing Men's Lightweight,Silver
2008,ESP,Spain,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold
2012,ESP,Spain,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Silver
2016,ESP,Spain,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Bronze
2016,ESP,Spain,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Gold
1984,CAN,Canada,Rowing,Rowing Men's Coxed Eights,Gold
1976,TTO,Trinidad,Athletics,Athletics Men's 100 metres,Gold
2004,USA,USA,Athletics,Athletics Men's 200 metres,Gold
2004,USA,USA,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
2008,USA,USA,Athletics,Athletics Men's 200 metres,Silver
2004,CUB,Cuba,Athletics,Athletics Women's Hammer Throw,Bronze
1996,USA,USA,Athletics,Athletics Men's 110 metres Hurdles,Silver
2000,USA,USA,Athletics,Athletics Men's 110 metres Hurdles,Bronze
2012,ARG,Argentina,Taekwondo,Taekwondo Men's Welterweight,Gold
1984,ITA,Italy,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
2000,USA,USA,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
2004,USA,USA,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
2004,USA,USA,Swimming,Swimming Men's 100 metres Butterfly,Silver
2004,USA,USA,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
2008,USA,USA,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1980,GBR,UK,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
1984,GBR,UK,Swimming,Swimming Women's 400 metres Freestyle,Bronze
1984,BEL,Belgium,Rowing,Rowing Men's Double Sculls,Silver
1964,USA,USA,Rowing,Rowing Men's Double Sculls,Silver
1960,USA,USA,Boxing,Boxing Men's Middleweight,Gold
1984,CAN,Canada,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
2008,USA,USA,Fencing,"Fencing Women's Foil, Team",Silver
1996,USA,USA,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
1964,AUS,Australia,Hockey,Hockey Men's Hockey,Bronze
2000,ITA,Italy,Fencing,"Fencing Men's Foil, Team",Bronze
1964,CAN,Canada,Athletics,Athletics Men's 800 metres,Silver
2016,USA,USA,Athletics,Athletics Men's Shot Put,Gold
2012,AUS,Australia,Rowing,Rowing Women's Single Sculls,Bronze
2012,AUS,Australia,Rowing,Rowing Women's Double Sculls,Silver
2016,AUS,Australia,Rowing,Rowing Women's Single Sculls,Gold
1992,GBR,UK,Sailing,Sailing Mixed Three Person Keelboat,Bronze
2016,ESP,Spain,Basketball,Basketball Women's Basketball,Silver
2008,CUB,Cuba,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Bronze
1984,BRA,Brazil,Athletics,Athletics Men's 800 metres,Gold
1988,BRA,Brazil,Athletics,Athletics Men's 800 metres,Silver
1992,HUN,Hungary,Judo,Judo Men's Half-Lightweight,Silver
1976,HUN,Hungary,Water Polo,Water Polo Men's Water Polo,Gold
1980,HUN,Hungary,Water Polo,Water Polo Men's Water Polo,Bronze
1972,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
1976,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
1968,HUN,Hungary,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
1972,HUN,Hungary,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
2004,HUN,Hungary,Swimming,Swimming Men's 400 metres Individual Medley,Bronze
2008,HUN,Hungary,Swimming,Swimming Men's 200 metres Butterfly,Silver
2008,HUN,Hungary,Swimming,Swimming Men's 200 metres Individual Medley,Silver
2008,HUN,Hungary,Swimming,Swimming Men's 400 metres Individual Medley,Silver
2012,HUN,Hungary,Swimming,Swimming Men's 200 metres Individual Medley,Bronze
2016,HUN,Hungary,Swimming,Swimming Men's 100 metres Butterfly,Silver
1968,HUN,Hungary,Rowing,Rowing Men's Coxless Fours,Silver
2012,HUN,Hungary,Judo,Judo Women's Extra-Lightweight,Bronze
2016,HUN,Hungary,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
1968,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
1996,HUN,Hungary,Gymnastics,Gymnastics Men's Rings,Silver
2000,HUN,Hungary,Gymnastics,Gymnastics Men's Rings,Gold
1992,HUN,Hungary,Judo,Judo Men's Heavyweight,Bronze
1964,ROU,Romania,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
1964,TCH,Czech Republic,Volleyball,Volleyball Men's Volleyball,Silver
2004,AUS,Australia,Archery,Archery Men's Individual,Bronze
1976,BEL,Belgium,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
1988,CHN,China,Volleyball,Volleyball Women's Volleyball,Bronze
1996,CHN,China,Volleyball,Volleyball Women's Volleyball,Silver
1960,DEU,,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
2012,PRI,,Athletics,Athletics Men's 400 metres Hurdles,Bronze
2004,CUB,Cuba,Athletics,Athletics Women's Shot Put,Gold
2004,GBR,UK,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
2016,AZE,Azerbaijan,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Bronze
1996,ITA,Italy,Fencing,"Fencing Men's epee, Team",Gold
1992,FRA,France,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
2012,AUS,Australia,Sailing,Sailing Women's Three Person Keelboat,Silver
2008,ARG,Argentina,Cycling,Cycling Men's Madison,Gold
1968,AUS,Australia,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
1960,USA,USA,Athletics,Athletics Men's 400 metres Hurdles,Silver
1992,JAM,Jamaica,Athletics,Athletics Women's 100 metres,Silver
1992,JAM,Jamaica,Athletics,Athletics Women's 200 metres,Silver
1996,JAM,Jamaica,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
1988,NZL,New Zealand,Sailing,Sailing Mixed One Person Dinghy,Bronze
1968,ROU,Romania,Boxing,Boxing Men's Lightweight,Bronze
1976,ROU,Romania,Boxing,Boxing Men's Lightweight,Silver
1964,POL,Poland,Volleyball,Volleyball Women's Volleyball,Bronze
1976,POL,Poland,Weightlifting,Weightlifting Men's Lightweight,Bronze
1968,GDR,Germany,Shooting,Shooting Mixed Trap,Bronze
1992,HUN,Hungary,Swimming,Swimming Men's 200 metres Individual Medley,Bronze
1996,HUN,Hungary,Swimming,Swimming Men's 200 metres Individual Medley,Gold
1992,HUN,Hungary,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
1976,POL,Poland,Weightlifting,Weightlifting Men's Bantamweight,Silver
1980,POL,Poland,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
1992,POL,Poland,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
2008,ITA,Italy,Shooting,Shooting Men's Double Trap,Silver
1996,BRA,Brazil,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
2000,BRA,Brazil,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
2012,BRA,Brazil,Judo,Judo Women's Half-Heavyweight,Bronze
2016,BRA,Brazil,Judo,Judo Women's Half-Heavyweight,Bronze
2012,BRA,Brazil,Judo,Judo Men's Heavyweight,Bronze
2016,BRA,Brazil,Judo,Judo Men's Heavyweight,Bronze
1988,BRA,Brazil,Athletics,Athletics Men's 200 metres,Bronze
2008,FRA,France,Weightlifting,Weightlifting Men's Lightweight,Silver
2000,IRN,,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
1972,NER,,Boxing,Boxing Men's Light-Welterweight,Bronze
1972,POL,Poland,Fencing,"Fencing Men's Foil, Team",Gold
1976,ROU,Romania,Boxing,Boxing Men's Light-Heavyweight,Bronze
1984,GBR,UK,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
1984,USA,USA,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
1960,TUR,Turkey,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
1984,CHE,,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
2012,SWE,Sweden,Shooting,Shooting Men's Double Trap,Silver
1992,NOR,Norway,Handball,Handball Women's Handball,Silver
2004,NOR,Norway,Cycling,"Cycling Women's Mountainbike, Cross-Country",Gold
1980,GDR,Germany,Swimming,Swimming Women's 800 metres Freestyle,Bronze
1976,GDR,Germany,Rowing,Rowing Women's Coxless Pairs,Silver
2012,CHN,China,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
2012,CHN,China,Archery,Archery Men's Individual,Bronze
2016,FJI,,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
1976,ITA,Italy,Fencing,"Fencing Men's Foil, Individual",Gold
1964,TCH,Czech Republic,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold
2012,GBR,UK,Diving,Diving Men's Platform,Bronze
2016,GBR,UK,Diving,Diving Men's Synchronized Platform,Bronze
2008,USA,USA,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
1984,YUG,Serbia,Basketball,Basketball Men's Basketball,Bronze
1992,FRA,France,Judo,Judo Men's Half-Middleweight,Bronze
2000,ROU,Romania,Rowing,Rowing Women's Coxless Pairs,Gold
2004,ROU,Romania,Rowing,Rowing Women's Coxless Pairs,Gold
2008,ROU,Romania,Rowing,Rowing Women's Coxless Pairs,Gold
1984,ITA,Italy,Boxing,Boxing Men's Super-Heavyweight,Silver
1980,ITA,Italy,Athletics,Athletics Men's 20 kilometres Walk,Gold
1984,ITA,Italy,Athletics,Athletics Men's 20 kilometres Walk,Bronze
1988,ITA,Italy,Athletics,Athletics Men's 20 kilometres Walk,Bronze
1980,GDR,Germany,Shooting,Shooting Mixed Trap,Bronze
1984,ROU,Romania,Fencing,"Fencing Women's Foil, Team",Silver
1964,TCH,Czech Republic,Athletics,Athletics Men's Discus Throw,Silver
1968,TCH,Czech Republic,Athletics,Athletics Men's Discus Throw,Bronze
1972,TCH,Czech Republic,Athletics,Athletics Men's Discus Throw,Gold
2008,KOR,South Korea,Table Tennis,Table Tennis Women's Team,Bronze
1968,USA,USA,Swimming,Swimming Women's 100 metres Butterfly,Silver
1968,USA,USA,Swimming,Swimming Women's 200 metres Butterfly,Bronze
1976,ROU,Romania,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
1960,USA,USA,Boxing,Boxing Men's Light-Welterweight,Bronze
2004,FRA,France,Fencing,"Fencing Women's epee, Team",Bronze
2008,UKR,Ukraine,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
1984,DEU,,Athletics,Athletics Men's Discus Throw,Gold
1988,DEU,,Athletics,Athletics Men's Discus Throw,Bronze
